Area;Regione;prov;Cap;2011_1;2011_2;2011_3;2011_4;2012_1;2012_2;2012_3;2012_4;2013_1;2013_2;2013_3;2013_4;2014_1;2014_2;2014_3;2014_4;2015_1;2015_2;2015_3;2015_4;2016_1;2016_2;2016_3;2016_4;2017_1;2017_2;2017_3;2017_4;2018_1;2018_2;2018_3;2018_4;2019_1;2019_2;2019_3;2019_4;2020_1;2020_2;2020_3;2020_4;2021_1;2021_2;2021_3;2021_4;2022_1;2022_2;2022_3;2022_4;2023_1;2023_2;2023_3;2023_4;2024_1;2024_2;2024_3;2024_4
Nord Ovest;Liguria;GE;cap;818,57;902,73;740,19;1129,34;669,45;756,41;653,26;817,04;773,05;677,79;498,76;669,02;552,86;570,62;482,35;706,24;534,04;541,34;418,41;725,1;602,69;660,42;585,72;657,99;613,22;685,49;521,18;659,93;523,59;707,97;468,44;777,83;782,62;794,71;769,97;784,21;622,94;547,01;589,24;999,36;785,48;909,9;787,65;930,45;778,14;855,7;695,29;956,6;744,59;761,92;621,44;873,32;775,41;909,54;781,89;1039,34
Nord Ovest;Liguria;GE;NonCap;441,39;556,59;429,07;592,8;410,09;418,91;316,63;409,72;310,01;327,54;284,28;379,43;294,68;367,67;276,87;353,39;418,65;334,23;309,89;430,46;384,66;415,19;471,82;425,48;376,69;429,95;500,82;524,32;370,67;544,87;416,04;505,82;388,42;471,72;564,44;543,87;374,79;425,01;395,61;629,05;480,99;709,23;585,86;678,52;601,62;647,54;504,74;709,72;492,03;577,92;587,16;794,02;496,62;570,92;462,76;670,17
Nord Ovest;Liguria;IM;cap;98,37;131,25;84;117,5;54;51,5;35,5;41,5;53,5;62;59,64;56;26,95;39,5;68;47,64;41,46;51;39,19;48;53;46;43,12;54,92;42,98;54,39;33,47;46,74;45,87;44,5;25;49,64;47,17;60,35;43,69;51,09;34,33;37;40,85;67,25;50,4;47,67;64,51;63,33;45,11;84,5;63,83;66,18;44,43;65,4;67,83;74,67;66,81;52,83;47,9;94,58
Nord Ovest;Liguria;IM;NonCap;299,26;332,59;283,4;397,82;306,35;331,09;238,59;253,3;226,82;269,47;277,77;284,92;234,18;346,35;254;252,4;253,83;300,13;266,82;287,49;246,55;305,3;327,58;318,88;241,71;320,36;247,05;345,14;263,65;302,23;311,5;368,25;291,78;319,14;278,89;437,92;244,9;206,56;323,75;432,87;370,67;429,37;432,12;496,56;396,15;499,13;422,1;477,66;391,09;472,66;408,18;432,99;369,49;420,22;405,9;469,27
Nord Ovest;Liguria;SP;cap;77,5;96;53,5;139,99;88,64;90,34;105,06;75,65;60;68,5;44;69,5;34,7;54,84;47,62;86,79;55,5;58,06;44,74;64,68;70;98;49,93;72,08;66,25;96,7;52,99;57,51;53,5;78,54;57,5;71,95;81,61;80,51;82,5;63,42;83,03;40,26;48,55;99,24;70,75;105,03;80,1;135,35;124,33;121,33;102,83;113,78;75,86;95,05;106,35;101,91;58,6;105,46;65,5;120
Nord Ovest;Liguria;SP;NonCap;116,33;202,92;176,34;226,4;134,76;160,18;128,89;208,53;123,36;170,95;160;203,91;124,08;149,15;106,75;107,23;250,05;102,21;166,03;151,52;116,02;144,8;117,39;139,82;120,33;189,54;168,95;208,56;149,49;180,55;147,99;178,75;193,99;167,69;156,11;161,1;120,3;126,5;147,66;196,72;164,79;234,41;173,07;201,9;211,71;234,64;212,87;177,1;178,7;168,62;137,38;201,56;147,22;176,43;153,32;240,78
Nord Ovest;Liguria;SV;cap;97;105,99;89;106,75;99,67;106,82;43,5;54,5;40,5;80,33;51,5;58;51,17;53;49,52;42,24;55,33;57;54,13;38,88;50;63;55;48,37;60,88;67,5;68;73,77;100,17;62,83;62,71;230,93;56,09;66,21;81,55;115,67;60,23;53;65,83;78,17;65,42;98,25;90,42;89;56,83;82,9;70,95;83,09;72;88,99;82,32;71,08;63,25;75,51;68,14;132,51
Nord Ovest;Liguria;SV;NonCap;646,96;722,21;695,65;821,74;498,69;793,02;574,52;602,35;438,5;543,86;576,42;559,69;499,61;429,41;421,57;482,05;382,92;533,13;425,81;520,75;457,61;638,91;522,45;664,65;524,94;591,91;578,49;697,91;444,75;624,22;578,24;609,27;544,09;648,91;584,6;656,16;358,52;358,55;581,78;786,79;699,08;878,57;895,86;994,9;726,08;1042,57;739,2;879,93;701,52;887,79;710,08;834,43;628,65;778,58;657,12;835,28
Nord Ovest;Lombardia;BG;cap;313,93;412,14;296,39;434,08;338,2;280,16;204,6;373,16;249,61;268,41;229,76;272,63;222,28;282,63;271,78;322,5;243,04;278,88;269,99;346,44;254,83;419,16;306,63;407,83;269,78;342,94;295,91;374,68;300,43;356,33;296,3;484,91;338,49;377,19;291,64;456,16;246,51;249,27;885,67;574,86;457,35;499,87;476,69;509,95;440,91;626,81;366,11;509,63;427,6;439,81;417,98;433,31;389,76;541,43;384,03;724,71
Nord Ovest;Lombardia;BG;NonCap;2425,45;2774,15;2216,13;3352,49;1984,68;2070,99;1694,88;2226,7;1668,98;2003,69;1588,24;2054,28;1584,86;1737,13;1581,55;2094,23;1687,69;1936,87;1836,58;2291,03;1988,16;2361,14;2169,5;2736,19;2029,17;2655,05;1996,71;2635,09;2091,03;2538,16;2256,12;3147,41;2419,32;2631,23;2322,74;2958,72;1811,97;1961,22;2590,47;3519,46;2901,12;3496,93;2884,9;3982,28;3172,41;3723,19;2953,81;3753,75;2793,77;3041,56;2659,73;3710,06;2641,83;3325,56;2758,53;4156,9
