Area;Regione;Prov;Cap;2023_1_SUP_NORM;2023_2_SUP_NORM;2023_3_SUP_NORM;2023_4_SUP_NORM;2024_1_SUP_NORM;2024_2_SUP_NORM;2024_3_SUP_NORM;2024_4_SUP_NORM
Nord Ovest;Liguria;GE;cap;12497,013;13056,276;10907,46;15645,176;13062,093;15857,76;13074,1;17022,548
Nord Ovest;Liguria;GE;NonCap;9147,134;10662,084;10943,93;15031,964;9535,701;10945,149;8547,551;12787,588
Nord Ovest;Liguria;IM;cap;889,16;1427,35;1329,62;1567,75;1204,23;1179,774;999,75;1940,95
Nord Ovest;Liguria;IM;NonCap;7216,04;8857,44;7775,02;7829,228;7131,755;7906,03;7731,977;8615,32
Nord Ovest;Liguria;SP;cap;1344,13;1755,83;1966,3;2028,62;1193,82;1974,92;1028,5;2190,3
Nord Ovest;Liguria;SP;NonCap;3819,77;3241,24;2609,05;3989,8;2856,1;3452,44;3173,27;4857,55
Nord Ovest;Liguria;SV;cap;1489,9;1713,1;1634,131;1584,64;1400,12;1466,49;1352,74;2578,66
Nord Ovest;Liguria;SV;NonCap;14239,29;16937,735;14347,653;16612,352;13020,109;15430,18;13236,965;16883,694
Nord Ovest;Lombardia;BG;cap;8677,84;8977,591;8195,22;8735,72;8007,56;10652,749;8197,86;14670,229
Nord Ovest;Lombardia;BG;NonCap;64240,474;69941,109;62021,562;86120,147;58384,87;76087,768;63689,582;99309,296
Nord Ovest;Lombardia;BS;cap;10369,83;10193,56;8273,74;12047,802;11330,365;9961,877;9681,332;11853,57
Nord Ovest;Lombardia;BS;NonCap;60496,138;66367,966;59307,329;75209,894;55597,857;64950,723;59244,974;78778,355
Nord Ovest;Lombardia;CO;cap;4653,74;4962,53;4526,145;5800,085;5715,07;5974,12;4541,05;5764,864
Nord Ovest;Lombardia;CO;NonCap;29576,809;33708,255;29618,551;36845,23;26056,108;32683,424;31678,734;39352,21
Nord Ovest;Lombardia;CR;cap;3661,68;3725,42;3394,48;4478,12;2943,31;3801,22;3665,856;4862,58
Nord Ovest;Lombardia;CR;NonCap;13924,59;16424,488;13768,786;17852,951;12690,94;16959,582;13333,043;20282,764
Nord Ovest;Lombardia;LC;cap;3207,1;2459,98;2291,9;4815,08;2494,34;2829,26;1848,46;4487,8
Nord Ovest;Lombardia;LC;NonCap;16842,189;16341,438;16424,87;20376,401;14867,28;18485,4;14496,413;19823,943
Nord Ovest;Lombardia;LO;cap;2719,54;3375,05;2553,97;3198;2232,5;2843,3;2405,88;2663,9
Nord Ovest;Lombardia;LO;NonCap;10771,775;11422,01;9207,166;13929,2;8626,015;13002,62;10286,2;13446,31
Nord Ovest;Lombardia;MI;cap;52049,635;57060,892;45925,965;68987,871;47724,445;49767,536;37311,71;71161,416
Nord Ovest;Lombardia;MI;NonCap;166708,255;187158,728;147920,898;208688,052;143073,931;187658,662;147921,298;221296,545
Nord Ovest;Lombardia;MN;cap;3031,5;3577,65;1907,75;2674,6;2533,39;2540,104;2153,36;3180,82
Nord Ovest;Lombardia;MN;NonCap;17638,82;20545,346;19946,551;24001,934;16539,238;20597,516;18178,41;22377,396
Nord Ovest;Lombardia;PV;cap;3059,6;3017,85;3012,22;3799,414;2110,95;3471,07;2979;4524,72
Nord Ovest;Lombardia;PV;NonCap;25297,063;29160,891;22519,941;31924,124;25183,287;31882,08;24102,88;33814,134
Nord Ovest;Lombardia;SO;cap;1283,81;1572;1053,9;1339,96;811,7;852,44;1007,63;2998,2
