Area;Regione;prov;Cap;2011_1;2011_2;2011_3;2011_4;2012_1;2012_2;2012_3;2012_4;2013_1;2013_2;2013_3;2013_4;2014_1;2014_2;2014_3;2014_4;2015_1;2015_2;2015_3;2015_4;2016_1;2016_2;2016_3;2016_4;2017_1;2017_2;2017_3;2017_4;2018_1;2018_2;2018_3;2018_4;2019_1;2019_2;2019_3;2019_4;2020_1;2020_2;2020_3;2020_4;2021_1;2021_2;2021_3;2021_4;2022_1;2022_2;2022_3;2022_4;2023_1;2023_2;2023_3;2023_4;2024_1;2024_2;2024_3;2024_4
Nord Ovest;Liguria;GE;cap;201,31;280,95;205,28;285;178,24;195,98;175,28;183,56;138,5;163,82;130,42;191,97;175,69;204,88;145,32;203,21;161,49;146,94;175,92;213,91;172,35;213,13;171,51;223,71;185,76;211,31;163,04;223,82;193,58;246,5;172,52;253,76;230,65;226,42;257,8;239,11;199,24;160,29;239,83;428,82;408,43;472,24;392,53;528,95;400,92;481,11;386,44;488,69;381,44;441,36;381,7;415,4;383,42;482,98;428,8;492,16
Nord Ovest;Liguria;GE;NonCap;172,07;187,18;137,48;197,25;111,04;124,39;109,56;144,67;115,2;129,21;108,23;124,51;151,53;114,08;103,32;129,77;110,58;140,02;108,95;149,7;124,9;167,36;144,26;165,14;160,42;173,36;180,83;205,48;178,13;191,88;152,41;199,62;158,42;167,08;157,83;199,25;108,91;143,35;167,5;311,48;275,37;345,78;334,45;427,19;351,57;361,8;300,33;383,33;267,97;310,67;272,36;347,42;302,74;368,75;289,18;350,3
Nord Ovest;Liguria;IM;cap;40;32;27,46;25,62;28,26;23,67;20,05;11,5;15,5;23,49;24,86;15,43;15,19;26;23,5;21,78;14,18;18,45;26;22;23;28,22;26,27;32,29;14;32,2;18;20,1;25,01;21,79;21,63;29,12;16,25;16,05;44,28;24,64;26,55;15,25;32,33;35,68;35,35;37,18;54,17;46,13;54,07;39,17;27,61;45,42;46,26;37,83;41,98;49,69;33,63;36,51;29,93;39,8
Nord Ovest;Liguria;IM;NonCap;167,9;206,19;138,38;188,73;151,31;160,31;151,17;176,81;134,53;134,72;118,43;160,71;131,82;144,93;131,59;157,03;165,33;152,07;143,45;210,31;168,69;177,09;159,7;212,68;182,64;202,33;166,95;199,62;180,67;182,58;159,54;219,34;208,73;196,98;195,31;219,69;150,94;114,71;218,61;295,83;237,22;332,06;338,45;390,5;330,69;400,47;379,47;408,79;351,34;400,37;366,01;364,93;312,84;316,8;330,55;387,69
Nord Ovest;Liguria;SP;cap;45,75;32,29;38,5;49,85;34,47;30,73;28,35;52,9;42,08;38,44;30,5;30,89;31,46;38,65;26,64;26,87;31,32;32,25;28,95;38,13;32,92;42,29;42,46;37,82;51,78;36,38;40,77;61,67;28,92;39,03;44,58;42,31;46,1;52,99;44,29;47,89;43,84;29;34,1;46,32;49,61;71,05;40,24;78,48;80,97;85,73;67,2;75,35;65,52;75,33;62,96;78,81;49,97;91,61;51,45;68,82
Nord Ovest;Liguria;SP;NonCap;54,44;94,15;57,74;89,8;62,8;76,36;62,8;87,05;58,25;57,21;64,66;68,09;57,44;56,16;54,72;79,27;49,02;59,22;48,69;68,2;49,52;59,85;71,06;68,25;97,29;115,11;76,2;107,14;72,6;84,92;72,52;106,18;59,93;68,71;74,61;71,12;39,7;42,54;98,97;111,59;114,09;135,69;142,67;162,27;125,02;145,05;131,35;122,48;106,74;133,99;96,77;138,17;103,21;140,69;103,74;111,45
Nord Ovest;Liguria;SV;cap;25,99;33,14;39,49;48,36;21,5;28,28;11;37,27;19,2;27,57;23,76;15,92;19,05;21,09;18,74;24,08;18,43;20,99;12,03;18,12;22,62;28,19;26,5;23,55;27,13;20,77;23,62;22,1;34,58;41,74;14,21;39,64;22,88;24,99;24,25;31,83;23,77;12,1;33,16;65,89;42,68;69,22;45,08;76,26;59,33;67,48;57,28;50,77;56,28;64,16;42,42;73,46;35,22;55,89;65,71;79,71
Nord Ovest;Liguria;SV;NonCap;196,64;169,34;150,88;229,76;134,24;172,98;127,76;166,55;133,65;155,72;125,48;157,58;149,92;126,92;120,74;172,71;120,73;140,29;143,85;152,91;169,08;232,67;193,66;218,46;157,7;188,05;153,56;212,78;181,34;182,96;175,29;245,85;180,6;240,71;201,32;257,57;139,64;119,01;217,37;335,66;237,7;407,9;352,95;422,53;347,56;503,05;389,97;474,2;358,88;422,3;316,34;399,85;330,9;405,59;323,57;457,71
Nord Ovest;Lombardia;BG;cap;28,63;45,18;38,65;31,11;22,23;20,73;21,45;44,35;23,3;26,59;19,34;25,1;26,25;18,07;25,45;41,74;27,03;26;19,61;36,04;22,39;46,57;54,34;50,86;29,71;37,91;51,02;39,14;30,12;52,32;39,4;46,51;67,12;53,17;28,58;85,92;39,83;30,08;46,78;123,92;93,08;125,43;96,81;115,53;133,87;136,82;108,08;177,89;143,32;134,29;134,67;164,35;129,68;207,85;145,61;224,54
Nord Ovest;Lombardia;BG;NonCap;195,39;220,8;189,98;254,19;148,48;161,39;146,19;152,56;154,95;162,99;124,29;187,12;155,35;139,99;140,2;204,87;139,17;162,76;133,09;177,88;161,55;193,28;146,76;233,85;197,9;207,49;158,82;225,84;200,97;218,02;199,99;318,36;272,65;285,77;286,99;320,03;199,09;236,64;295,93;484,42;422,57;534,3;390,61;675,39;499,11;699,39;488,91;652,96;558,74;594,02;508,06;762,71;544,98;724,41;599,91;982,82
Nord Ovest;Lombardia;BS;cap;30,7;46,28;27,19;42,34;30,92;36,13;31,35;32,77;19,39;29,7;27,09;30,06;21,76;30,52;13,5;50,37;25,32;39,5;23,69;42,5;34,33;35,24;38,17;43,88;35,9;63,56;32,54;64,69;45,25;39,63;26,53;40,53;37,63;47,9;48,2;74,9;37,08;42,35;59,87;100,02;122,12;182,55;134,5;174,87;234,86;232,99;201,23;212,44;171,51;170,18;154,23;206,23;216,17;212,14;205,37;263,88
Nord Ovest;Lombardia;BS;NonCap;188,85;178,52;160,31;294,07;162,35;153,97;138,34;168,33;135,89;177,6;147,59;215,41;110;110,99;122,97;160,77;106,21;151,87;152,61;182,74;155,52;166,79;143,01;240,28;180,2;258,66;177,74;239,92;180,39;215,65;200,36;265,02;218,94;233,93;167,79;268,94;177,85;140,42;262,91;415,02;312,72;486,95;383,37;578,77;438,2;566,03;475,44;617,65;481,66;457,75;438,71;654,23;449,76;527,95;441,91;643,41
Nord Ovest;Lombardia;CO;cap;29,56;53,66;23,15;38,27;23,22;30,17;29,37;25,7;19,61;22,78;17,85;21,81;18,07;14,32;23,63;28,48;19,75;19,52;21,49;29,04;36,02;25,09;33,35;39,36;35,49;51,81;31;39,07;27,03;36,64;35,07;56,99;32,83;52,18;34,62;55,5;41,36;40,71;69,82;65,19;76,7;103,92;81,1;93,03;71,32;120,97;111,42;98,6;75,09;99,53;91,43;127,29;116,64;128,91;98,15;120,28
Nord Ovest;Lombardia;CO;NonCap;129,79;182,85;142;186,57;149,69;118,67;110,71;143,17;98,76;116,89;102,82;125,4;91,38;102,02;106,79;105,68;117,6;113,4;112,62;158,67;112,58;173,54;139,71;217,48;147,39;161,36;183,91;250,24;155,86;215,26;164,75;264,48;196,36;209,93;196,67;290,12;175,28;146,79;284,61;352,6;321,13;392,41;364,15;505,55;411,9;462,52;402,43;495,41;418,51;438,37;425,68;469,26;387,2;445,64;384,38;595,16
Nord Ovest;Lombardia;CR;cap;11,87;7;4;17,6;6,67;14;5;8,61;10,92;11,5;9,5;15,5;5;11;8,6;7,52;5,24;8,5;3,33;9,42;5,1;13,17;32,13;8;12;11,25;4,92;10,5;6,51;10,87;12,49;23,92;26,11;11,12;7;17;7;16;24;78,88;53,25;91,83;59,67;91,1;60,64;96,5;55,25;132,19;50,53;80,75;63,83;79,05;53,64;88,5;61,67;142,25
Nord Ovest;Lombardia;CR;NonCap;35;34,17;25,26;24,08;17,67;26,13;43,03;23,08;25,96;23,91;15;25;25,5;12,42;16,31;31,88;9,38;22;17,05;19,2;22,5;34,54;20,26;33,01;23,83;40,63;22,17;43,32;19,83;27,92;28,91;30,58;22,17;35,84;21,83;48,68;34,35;50,06;70,43;97,24;67,14;93,5;100,47;114,22;90,73;107,77;88,67;101,68;91,34;101,01;65,67;109,75;89,59;119,45;71,08;102,29
Nord Ovest;Lombardia;LC;cap;27,66;28,28;22,38;26,41;11,86;18,72;11,5;15,38;17,07;19,21;17,05;13,87;11,65;11,18;12;14,34;8,57;15,67;15,27;21,64;6,16;17,32;20,13;37,05;15,56;15,38;15,46;21,88;17,4;22,68;22,03;47,92;18,64;28,55;14,39;19,29;15,12;16,65;29,99;54,88;39,62;76,96;40,89;62,09;40,63;85,45;41,2;46,46;45,37;45,16;45,34;81,76;41,87;49,74;36,03;62,42
Nord Ovest;Lombardia;LC;NonCap;69,02;101,78;46,08;104,83;62,89;100,74;56,8;91,28;75,48;70,33;50,97;72,83;45,64;66,81;65,06;70,46;52,68;54,67;43,58;78,62;64,95;84,57;86,77;147,51;79,59;139,46;89,13;122,33;84,92;84,98;109,09;133,76;108,7;114,09;81,3;155,64;103,74;88,13;123,37;223,87;195,29;223,07;201,82;231,42;201,34;235,74;214,72;294,87;236,26;223,22;205,45;296,08;200,37;239,3;175,23;245,18
Nord Ovest;Lombardia;LO;cap;12,05;6,52;13;11,83;8,9;4,17;3,18;10,09;4,98;3,19;4,98;14,16;8,53;2,08;11,08;7,78;8,5;14,04;4,06;10,44;12,56;6,06;15,04;31,13;24,28;28,88;9,06;53;17,5;28,58;24,07;24,03;14,05;36,86;34,5;20,86;29,73;24,5;29,36;60,1;30,01;59,23;29,03;51,88;51,73;50,03;42;37,06;42,31;59,5;53,06;49,83;53,78;65;43,71;55,5
Nord Ovest;Lombardia;LO;NonCap;31,92;31;12,9;22,82;23,05;16,42;14,67;15,02;19,17;16;16,46;18;8,85;18;16,5;16,58;15,75;14;14,17;21,32;19,7;35,5;22,63;34,77;49,33;33,81;26,44;28,08;26,19;24,89;21,3;36,23;46,31;28,42;23,21;41,75;22,08;31,09;46,6;78,77;60,67;85,7;73,28;92,56;100,55;114,88;87,94;101,17;71,15;74,87;62,59;132,24;75,08;89,17;90,92;116,3
Nord Ovest;Lombardia;MI;cap;468,21;675,6;443,28;660,18;388,07;471,06;307,35;514,32;409,66;522,09;391,82;487,17;404,22;523,68;552,74;618,76;496,51;491,98;424,94;726,6;473,36;846,97;598,91;926,67;796,57;997,67;887,81;1383,01;800,76;1016,19;841,78;1185,63;1030,7;1143,88;1023,79;1566,73;979,16;999,6;1421,18;2180,82;1898,85;3042,17;2419,96;2908,06;2787,15;3148,44;2193,05;2932,45;2377,1;2648;2390,79;3365,63;2233,18;2500,04;2017,31;3792,82
Nord Ovest;Lombardia;MI;NonCap;555,91;762,39;536,62;749,79;491,76;573,83;421,15;578,02;439,23;464,86;407,08;564,79;436,43;539,45;432,94;540,53;465,49;558,99;460,45;636,18;481,4;691,21;689,15;1186,84;785,65;1057,8;883,52;1455,63;906,89;1157,82;991,76;1447,34;1169,32;1333,89;1214,36;1597,62;1066,4;1077,92;1472,73;2551,69;2302,94;3129,29;2717,39;3142,33;3345,35;3412,88;2763,91;3585,45;2617,9;3037,01;2613,02;3762,56;2440,13;3136,34;2829,9;4193,93
Nord Ovest;Lombardia;MN;cap;8,73;10,07;12;18;12;5;3,16;4;6,32;7,77;9,16;5,3;7;1,22;4;6,66;8,67;5,14;5;7,06;5,33;10;11;9;15;8,11;11;6;4,5;7;6,14;11,17;25,21;16,73;19;13,24;62,22;7;25,22;111,53;77,5;57,67;48,33;76,15;43,98;31,5;50,53;74,57;56;54,47;32,5;40;54,45;48,4;34,7;73,78
Nord Ovest;Lombardia;MN;NonCap;31,81;31,43;12,6;27,18;27,75;16,29;10,91;23,17;24;19,7;12,08;14,62;17,77;18,15;10,5;16,39;20,84;14,17;18,5;16,58;15,33;23,91;12,43;27,26;33,7;19,66;36,25;18,5;43,27;32,92;25,58;22,5;29,21;32,01;65,69;60,2;29,09;25,07;40,63;67,55;68,56;65,41;75,83;107,23;66,08;93,57;70,41;90,21;71,07;79,26;86,11;94,87;81,81;75,32;81,46;100,71
