Area;Regione;Prov;Cap;2023_1_SUP_NORM;2023_2_SUP_NORM;2023_3_SUP_NORM;2023_4_SUP_NORM;2024_1_SUP_NORM;2024_2_SUP_NORM;2024_3_SUP_NORM;2024_4_SUP_NORM
Nord Ovest;Liguria;GE;cap;4053,472;4598,86;3957,492;4025,458;3920,896;5436,474;4450,974;4773,362
Nord Ovest;Liguria;GE;NonCap;3886,654;3822,404;3848,752;4757,434;4054,096;4749,226;4416,192;4435,488
Nord Ovest;Liguria;IM;cap;612,164;391,672;612,762;637,104;526,52;474,832;426,31;476,18
Nord Ovest;Liguria;IM;NonCap;4546,026;5411,16;5101,658;5083,918;4153,856;4466,07;4372,258;5273,72
Nord Ovest;Liguria;SP;cap;949,37;1117,07;831,194;1101,508;656,72;1289,736;724,238;792,588
Nord Ovest;Liguria;SP;NonCap;1657,186;2047,158;1546,118;2300,372;1680,97;2172,6;1611,762;1571,92
Nord Ovest;Liguria;SV;cap;619,49;670,936;469,322;876,326;471,948;683,022;748,7;848,12
Nord Ovest;Liguria;SV;NonCap;4516,968;4717,204;3998,23;4684,904;4012,03;4933,27;3941,054;5710,298
Nord Ovest;Lombardia;BG;cap;1598,982;1185,466;1174,286;1737,266;1398,542;1886,994;1434,86;2138,35
Nord Ovest;Lombardia;BG;NonCap;6974,514;7527,2;6591,022;9665,99;6969,674;8995,258;7938,536;12184,112
Nord Ovest;Lombardia;BS;cap;1836,988;1640,066;1562,772;2069,666;2426,7;2093,646;2227,232;2671,438
Nord Ovest;Lombardia;BS;NonCap;6595,68;5897,692;6143,392;8535,666;6307,524;7199,04;6594,206;8825,368
Nord Ovest;Lombardia;CO;cap;829,452;1044,9;1004,158;1377,576;1108,754;1460,192;798,088;1282,842
Nord Ovest;Lombardia;CO;NonCap;5442,206;6367,036;5719,928;6445,02;5359,388;6050,022;4803,498;8491,846
Nord Ovest;Lombardia;CR;cap;650,812;901,45;817,368;1002,95;555,056;947,3;654,7;1629,42
Nord Ovest;Lombardia;CR;NonCap;1288,914;1482,774;980,42;1355;1352,682;1645,15;1045,75;1280,632
Nord Ovest;Lombardia;LC;cap;386,48;605,668;487,298;928,758;496,79;546,63;459,722;803,33
Nord Ovest;Lombardia;LC;NonCap;2682,24;2898,656;2631,322;3685,714;2605,948;2880,404;2351,854;3245,308
