Area;Regione;prov;Cap;2011_1;2011_2;2011_3;2011_4;2012_1;2012_2;2012_3;2012_4;2013_1;2013_2;2013_3;2013_4;2014_1;2014_2;2014_3;2014_4;2015_1;2015_2;2015_3;2015_4;2016_1;2016_2;2016_3;2016_4;2017_1;2017_2;2017_3;2017_4;2018_1;2018_2;2018_3;2018_4;2019_1;2019_2;2019_3;2019_4;2020_1;2020_2;2020_3;2020_4;2021_1;2021_2;2021_3;2021_4;2022_1;2022_2;2022_3;2022_4;2023_1;2023_2;2023_3;2023_4;2024_1;2024_2;2024_3;2024_4
Nord Ovest;Liguria;GE;cap;1619,97;1950,82;1537,42;1895,16;1268,01;1462,5;1179,22;1256,87;1128,53;1237,33;1083,74;1211,88;1413,94;1366,84;1196,92;1357,94;1145,5;1428,14;1263,68;1610,36;1468,56;1819,56;1575,36;1753,85;1687,31;1845,76;1457;1870,07;1639,62;1934,07;1563,27;1992,57;1884,64;1857,98;1742,43;1918,5;1522,61;1490,67;1622,21;2087,55;2088,35;2472,22;2022,96;2330,67;2158,62;2636,54;2077,69;2330,4;2039,69;2255,76;1930,32;2286,47;1903,3;2339,82;2058,98;2488,52
Nord Ovest;Liguria;GE;NonCap;750,62;939,64;710,12;968,69;614,01;679,31;517,93;644,38;529,92;589,24;505,22;585,53;585,8;569,9;540,51;662,11;512,15;641,43;622,85;817,85;648,82;836,58;743,34;855,68;723,04;907,72;839,44;940,1;786,58;998,45;705,67;911,41;828,21;884,78;841,2;998,99;655,07;654,72;812,07;1195,88;987,44;1323,4;1113,91;1421,21;1151,54;1457,56;1062,14;1358,62;1032,12;1107,61;927,15;1260,8;912,6;1182,21;911,02;1294,08
Nord Ovest;Liguria;IM;cap;145,75;115,44;110,84;143,68;86,08;85,78;76,3;86,82;77,82;117,43;86;98,14;70,32;101,17;84,5;107,97;100,66;96,5;84,41;92,76;103,23;103,73;110,98;134,42;90,11;120,17;83,35;122,82;115,17;116,47;109,64;117,81;94;118,7;110,52;146,96;90,07;82,75;104,16;159,34;125,52;132,34;165,1;141,58;137,83;154,98;139,16;168,55;114,58;134,51;132,5;185,83;119,43;121;125,67;171,63
Nord Ovest;Liguria;IM;NonCap;636,1;695,68;604,03;741,52;544,66;524,32;432,75;518,12;426,2;551,57;432,67;542,45;465,16;513,63;476,29;511,69;461,51;554,89;502,03;635,16;562,71;714,16;599,5;685,99;603,06;695,85;612,39;784;665,41;778,12;621,4;774,63;717,61;785,38;700,2;869,15;602,71;482,73;710,72;904,05;751,18;958,62;961,32;1148,12;947,64;1136,63;1013,07;1078,46;972,74;1096,02;861,4;1030,63;854,24;970,89;856,27;1072,43
Nord Ovest;Liguria;SP;cap;208,26;295,64;211,05;294,75;211,13;203,41;201,41;198,27;181,29;231,46;183,31;179,78;170,66;221,25;206,37;268,24;173,54;264,18;186,62;248,47;261,42;312,59;274,87;289,73;278,62;311,24;256,72;269,47;260,97;300,9;250,41;294,98;292,44;306,1;291,64;304,61;281,21;187,7;264,43;337,6;275,77;351,85;292,51;371,7;353,49;408,41;345,25;354,33;343,31;389,56;313,73;344,6;301,54;368,35;277,8;333,8
Nord Ovest;Liguria;SP;NonCap;272,01;383,95;303,05;410,73;290,43;265,34;244,32;285,51;217,18;267,32;186,25;282,86;221,11;264,92;213,77;255,81;226,12;257,99;269,05;318,72;247,34;323,2;298,5;361,57;297,85;373,16;343,05;468,87;294,6;367,14;328,82;435,11;302,66;354,9;324,58;396,96;276,2;257,38;352,62;465,84;384,07;510,82;450,73;569,61;493,86;587,44;499,71;522,25;439,54;459,49;411,68;486,05;432,06;480,8;399,82;522,57
Nord Ovest;Liguria;SV;cap;184,11;215,56;176,68;243,31;116,33;152,71;102,8;132,39;108,47;152,71;117,94;116,65;131,3;131,34;124,53;152,53;135,99;140,87;105,33;140,88;149,26;190,6;148,9;149,08;165,63;182,24;163,34;192,33;176,91;175,9;149,48;319,92;173,42;179,75;141,76;208,58;132,48;144,59;164,06;215,98;194,34;231,85;206,93;241,25;190,87;247,23;212,86;211,34;171,07;206,51;180,61;211,46;155,93;202,76;208,75;259,3
Nord Ovest;Liguria;SV;NonCap;820,11;960,72;861,27;1135,14;687,53;764,61;560,16;717,37;610,05;740,47;653,57;694,58;671,66;727,81;634,73;813,13;600,58;738,05;630,56;837,21;837,62;1072,35;805,67;1066,21;879,7;974,56;816,64;1067,29;814;986,01;849,84;1066,26;953,14;1034,15;906,9;1092,63;711,32;687,74;933,77;1197,95;1010,24;1433,81;1277,63;1456,48;1288,56;1667,69;1203,36;1375,62;1125,16;1401,1;1023,43;1349,38;1006,84;1354,8;1100,84;1391,37
Nord Ovest;Lombardia;BG;cap;346,61;392,07;303,92;429,53;307,04;306,69;206,27;344,72;247,09;287,02;205,61;258,64;252,92;264,7;273,77;309,46;265,38;332,01;326,45;326,23;323,18;387,79;335,39;401,76;307,63;402,51;320,44;374,02;337,96;394,1;341,67;508,22;393,7;442,69;394,57;612,56;302,42;280,13;365,69;596,31;479,74;567,72;484,2;598,3;526,19;676,46;456,89;607,26;522,87;531,63;439,25;549,5;444,67;592,13;471,62;749,35
Nord Ovest;Lombardia;BG;NonCap;2482,18;2942,96;2300,5;3223,99;2018,98;2192,13;1693,85;2255,76;1667,05;2096,08;1648,36;2107,03;1667,08;1864,93;1687,45;2160,93;1760,75;2128,18;1957,77;2392,9;2088,44;2550,97;2320,94;2913,01;2226,07;2804,56;2214,25;2906,85;2398,9;2793,34;2451,01;3223,07;2696,23;3046,98;2621,89;3314,17;2042,2;2137,95;2925,3;3907,21;3367,39;4124,57;3386,25;4497,04;3621,54;4332,93;3434,4;4192,9;3369,02;3600,33;3184,3;4215,01;3133,43;3912,61;3287,93;4773,5
