Area;Regione;Prov;Cap;<= 50_2023_1_NTN;50 -| 85_2023_1_NTN;85 -| 115_2023_1_NTN;115 -| 145_2023_1_NTN;> 145_2023_1_NTN;<= 50_2023_2_NTN;50 -| 85_2023_2_NTN;85 -| 115_2023_2_NTN;115 -| 145_2023_2_NTN;> 145_2023_2_NTN;<= 50_2023_3_NTN;50 -| 85_2023_3_NTN;85 -| 115_2023_3_NTN;115 -| 145_2023_3_NTN;> 145_2023_3_NTN;<= 50_2023_4_NTN;50 -| 85_2023_4_NTN;85 -| 115_2023_4_NTN;115 -| 145_2023_4_NTN;> 145_2023_4_NTN;<= 50_2024_1_NTN;50 -| 85_2024_1_NTN;85 -| 115_2024_1_NTN;115 -| 145_2024_1_NTN;> 145_2024_1_NTN;<= 50_2024_2_NTN;50 -| 85_2024_2_NTN;85 -| 115_2024_2_NTN;115 -| 145_2024_2_NTN;> 145_2024_2_NTN;<= 50_2024_3_NTN;50 -| 85_2024_3_NTN;85 -| 115_2024_3_NTN;115 -| 145_2024_3_NTN;> 145_2024_3_NTN;<= 50_2024_4_NTN;50 -| 85_2024_4_NTN;85 -| 115_2024_4_NTN;115 -| 145_2024_4_NTN;> 145_2024_4_NTN
Nord Ovest;Liguria;GE;cap;180,5;845,13;656;228,66;129,4;152,41;985,86;721,83;240,86;154,8;148,32;784,34;627,85;221,87;147,94;159,13;979,43;724,98;258,07;164,86;128,18;822,67;621,7;213,86;116,89;155,39;964,4;766,42;310,94;142,67;170,75;827,17;634,75;265,93;160,38;187,21;1020,96;788,11;287,56;204,68
Nord Ovest;Liguria;GE;NonCap;124,14;397,71;275,08;132,94;102,25;125,55;453,57;286,89;135,91;105,69;89,62;361,74;255,3;116,2;104,29;149,97;469,26;356,92;161,83;122,82;110,67;367,3;257,28;90,86;86,49;139,58;482,69;318,5;119,34;122,1;95,32;355,02;258,96;118,16;83,56;147,19;516,03;360,15;145,25;125,46
Nord Ovest;Liguria;IM;cap;10;53,33;28,25;15;8;14,84;44,5;36,67;22,5;16;14,5;41,5;37;27,5;12;32,5;73,5;44,83;21;14;11,66;49,97;31,3;18,5;8;21,5;39,67;41;9,83;9;27,17;33,5;35,67;15,33;14;24,25;64,15;50,4;20,83;12
Nord Ovest;Liguria;IM;NonCap;233,17;412,29;178,31;72,3;76,67;307,34;425,49;187,44;88,33;87,42;228,89;355,65;151,57;67,75;57,54;272,37;428,3;169,02;87,74;73,2;235,12;335,84;151,61;68,83;62,84;253,67;416,54;171,83;61,34;67,51;215,9;361,85;143,09;66;69,43;254,77;441,04;222,08;83,02;71,52
Nord Ovest;Liguria;SP;cap;33,71;148,5;95,61;46,99;18,5;34,63;167,66;106,08;53,69;27,5;30,16;127,05;107,85;29;19,67;37,2;147,55;105,8;34,05;20;34,28;124,34;92,92;37;13;40,72;149,1;118,69;41;18,84;23,69;116,3;87,64;29,67;20,5;28,28;159,16;91,27;37,84;17,25
Nord Ovest;Liguria;SP;NonCap;59,31;155,42;107,08;51,83;65,9;60,8;163,02;127,55;47,13;60,99;45,35;145,11;95,39;71,26;54,57;72,25;157,57;125,8;60,26;70,17;62,38;142,67;112,05;60,11;54,85;55;165,85;116,63;67,82;75,5;54,42;124,66;106,06;58,42;56,26;74;189,25;135,87;56,11;67,34
Nord Ovest;Liguria;SV;cap;11,01;71,2;53,33;26,53;9;21,69;97,1;56,55;24,17;7;19,51;61,95;58,16;21,5;19,49;17,01;86,8;64,37;29,78;13,5;13,08;60,42;52,56;19,37;10,5;12,26;95,01;58,69;26,42;10,38;16,02;84,56;61;28,67;18,5;18,5;115,67;78,62;30,17;16,34
Nord Ovest;Liguria;SV;NonCap;224,92;487,75;239,37;87,25;85,87;286,03;659,33;256,03;102,5;97,21;191,68;426,23;205,33;113,97;86,22;285,14;563,12;286,55;104,21;110,36;178,44;446,27;210,35;76,5;95,28;276,7;590,7;293,28;109,38;84,74;214,7;489,89;238,43;81,17;76,65;244,41;603,47;334,43;101,16;107,9
Nord Ovest;Lombardia;BG;cap;58,13;166,74;163,75;71;63,25;49,77;156,49;174,4;70,5;80,47;46,4;123,8;128,55;67;73,5;52,36;181,77;154,03;79,11;82,23;50,21;143,82;114,09;88,5;48,05;45,53;165,99;197,27;113,02;70,32;41,02;149,93;147,66;71,67;61,34;61,94;262;215,57;106,73;103,11
Nord Ovest;Lombardia;BG;NonCap;285,98;1002,68;1004,01;558,74;517,61;306,2;1074,67;1062,18;577,13;580,15;264,05;918,42;932,49;562,73;506,61;356,35;1278,97;1235,45;684,28;659,96;283,32;996,19;918,47;495,61;439,84;301,39;1180,59;1206,34;600,77;623,52;229,61;985,48;970,8;559,23;542,81;406,47;1459,89;1340,39;790,67;776,08
Nord Ovest;Lombardia;BS;cap;62,86;229,66;213,53;108,45;89,22;45,51;208,04;224,53;123,56;118,41;32;181,76;210,2;96,67;93,61;62,19;274,05;232,31;134,1;137,41;60,35;237,32;225,56;106,95;97,06;67,53;229,05;235,83;118,92;78,87;46,42;205,75;218,5;96,25;104,78;74,55;270;239;127,58;124,57
Nord Ovest;Lombardia;BS;NonCap;276,75;930,37;795,82;519,65;695,42;288,72;1037;943,98;537,26;769,22;220,89;925,79;820,25;507,2;705,77;306,25;1167,47;994,92;597,66;913;245,18;925,89;776,2;468,28;651,86;288,95;1019,35;919;555,48;804,83;241,83;898,86;826,96;508,84;719,98;336,71;1239,63;1100,8;652,35;998,76
Nord Ovest;Lombardia;CO;cap;42,75;110,33;97,52;38,75;41,03;28,61;124,2;87,96;32,84;46,82;41,1;107,07;91,51;38,67;40,5;44,65;167,75;127,49;43,14;53,09;49,16;141,8;88,25;44,56;60,5;36,48;113,93;114,45;46;53,5;29,02;115,31;89,63;23,5;44,33;36,04;122,88;115,05;36,75;46,33
Nord Ovest;Lombardia;CO;NonCap;143,72;587,11;472,8;247,92;298,27;170,93;627,71;529,04;312,92;372,57;131,92;523,69;453,98;233,45;313,35;149,31;619,18;538,1;317,85;407,06;164,56;546,59;460,88;201,7;234,89;150,92;596,93;521,67;307,21;316,03;122,9;521,45;520,24;266,5;313,16;179,44;764,82;641,44;335,27;389,64
Nord Ovest;Lombardia;CR;cap;19;80,5;71,75;32,83;26,01;14,5;114,67;80,94;42,25;43,1;16;74,7;72,67;31;40,17;20,03;115,83;81;40,05;53,71;7;66,7;78;22,95;19,29;30,67;88,42;98,5;41,03;29,17;15,5;81,04;82,75;34,17;40,5;16;128,71;93,83;38,85;43,88
Nord Ovest;Lombardia;CR;NonCap;37,67;166,26;222,67;119,93;222,44;36,34;196,42;247,1;165,59;263,75;32,36;176,42;211,52;138,34;214,63;56,5;240,86;258,21;200,59;274,51;45,83;183,99;179,36;127,49;221,45;53;223,77;261,28;182,43;298,47;33,17;187,34;191,02;148,83;221,18;81;245,04;292,48;194,76;335,34
Nord Ovest;Lombardia;LC;cap;10,05;47,72;48,17;18,84;25,5;13,02;40,03;53,16;11,25;27,56;9;53,32;42,5;22;17;19,1;88,57;63,17;35;21,17;16,18;44,9;35,92;16;20,67;18,25;56,44;55,25;15,75;21,5;13,5;54,89;41,08;14,53;9;19,5;80,56;68;37,83;24,8
Nord Ovest;Lombardia;LC;NonCap;83,81;331,02;255,78;118,34;141,99;70,64;318,78;275,04;131,23;159,06;79,63;278,14;247,73;124,82;152,35;98,64;383,25;349,76;166,52;175,3;65,87;321,49;265,02;109,58;127,58;98,82;349,34;340,72;157,8;143,7;77,99;253,77;256,26;108,39;133,46;96,94;355,35;316,78;154,84;185,52
Nord Ovest;Lombardia;LO;cap;21;60;61,93;19,57;22;18;85,5;65,5;19;22;13;51,46;56,26;14,19;18,52;36;86,08;55,25;18,99;9,5;17;67;37,5;20;13,25;38;66,58;66,5;18,5;19;16,91;61;52,63;22;13,49;21,67;70,92;52,25;19,06;21
Nord Ovest;Lombardia;LO;NonCap;37,5;189,66;193,6;88,23;90,22;32;237,12;230,3;112;92,5;34;191,09;178,37;70,83;75,33;41;284,47;264,38;109,84;90,01;32,5;203,59;170,18;59,89;79;39,67;218,83;211;109,89;103,3;23;187,58;200,33;75,6;93,84;44,3;273,3;229,75;122,15;113,66
Nord Ovest;Lombardia;MI;cap;1334,46;2534,63;1218,1;479;357,66;1423,37;2905,43;1289,66;517,18;439,06;1056,21;2311,51;1143,18;429,03;385,11;1428,64;3077,65;1463,78;560,65;493,6;1110,87;2233,53;989,12;451,55;361,33;1389,67;2606,44;1200,45;504,61;391,17;1138,41;2164,54;1011,9;428,61;326,27;1628,17;3346,05;1518,67;648,28;553,26
Nord Ovest;Lombardia;MI;NonCap;919,72;3998,12;2787,53;1052,64;968,09;997,55;4474,49;3266,99;1344,24;1135,28;760,11;3632,6;2675,18;1138,52;886,58;1095,45;4702,25;3490,8;1476,84;1225,66;877,21;3694,13;2398,73;997,53;814,59;1009,65;4623,17;3291,13;1310,91;1096,11;762,64;3686,03;2786,17;1165,74;903,76;1105;4915,21;3764,08;1630;1296,18
Nord Ovest;Lombardia;MN;cap;13,5;63,5;53,7;30,5;22,5;10,3;77,3;74,16;53,05;25,47;9;48,41;71,2;22,5;16;11;54,5;80;51;27,75;12,28;44,95;85,84;31,65;21;17;76,23;81;31,5;42,23;12;54,36;54;27,66;35,2;12,5;67,92;101,81;35;41,5
Nord Ovest;Lombardia;MN;NonCap;25,12;198,46;196,44;155,45;315,23;30;257,15;252,97;197,9;340,58;23,5;181,83;268,78;196,39;392,59;36,5;233,62;310,99;220,32;427,01;22,5;196,78;233,28;168,35;323,58;32,5;249,25;279,63;177,79;352,44;24,23;209;234,96;157,95;373,65;24,34;241,5;289,53;195,29;470,4
Nord Ovest;Lombardia;PV;cap;44,32;109,54;69,39;35,5;19;50,76;120,36;66,25;26,17;31,93;26,61;98,05;55,25;25,1;19,34;63,07;138,16;69,67;30;28,75;37,85;94,59;44,77;19,92;10;50,07;112,17;90,5;31,05;25,08;38,5;93,56;76,78;34,75;28;51,88;171,59;75,1;40;35,17
Nord Ovest;Lombardia;PV;NonCap;91,19;561,66;430,38;247,35;344,41;78,62;598,82;478,64;276,09;387,73;55,08;475,39;424,11;245,13;323,92;98;631,48;572,81;324,22;436,73;77,05;567,4;459,51;239,52;338,3;76,05;624,48;488,18;310,62;421,92;81,19;465,84;405,21;247,33;365,66;105,49;666,31;619,68;323,95;478,98
Nord Ovest;Lombardia;SO;cap;13;23,39;26;9;7;10,08;18,03;20;13,75;6,5;18;15,83;19,5;13,75;4,05;16,56;32,42;34;11;9;6;22,36;17,5;6;3,08;14;17;18,16;5,9;5,75;10;19,5;29;7,33;7,33;26,63;55,51;44,5;14,33;8,78
Nord Ovest;Lombardia;SO;NonCap;114,94;217,99;109,27;60,18;42,08;116,88;233,64;124,93;54,97;63,11;116,17;190,09;99,01;45,42;36,73;139,91;296,01;157,89;75,18;71,44;118,19;171,37;98,63;54,19;34,13;150,03;179,53;108,97;66,79;58;91,65;211,88;112,79;55,71;53,74;166,22;296,16;162,8;81,02;64,8
Nord Ovest;Lombardia;VA;cap;24,86;89,17;96,59;29,23;38,34;21,87;81,05;85,43;37,58;48,17;17,68;88,45;57,86;43;46,1;34,09;135,03;119,28;38,43;66,62;20,08;93,12;95,28;44,31;32,58;26,11;102,86;106,41;41,67;62,35;23,48;77,83;78,33;30,5;38;26,55;111,75;88,51;42;44,66
Nord Ovest;Lombardia;VA;NonCap;204,59;943,4;764,37;416,14;540,47;206,3;922,46;848,3;464,11;531,73;171,47;964,46;778,86;366,77;492,97;237,62;1105,83;942,08;494,26;622,24;182,8;847,69;673,85;338,11;445,27;227,8;1006,15;911,77;464,87;590,49;173,12;899,47;751,26;394,15;476,17;244,41;1111,81;885;482,75;665,57
Nord Ovest;Piemonte;AL;cap;24,55;88,83;73;51,83;66,55;31,38;122,16;108,22;45,26;55,11;26,02;150,47;115,67;51,5;49,5;43,04;141,33;122,25;31,5;67,42;31;107,89;86,67;36;46,33;31,23;119,82;96,58;40,5;68,5;17;116,17;88,4;54,17;50,07;34,19;125,98;117,57;54,5;54,44
Nord Ovest;Piemonte;AL;NonCap;48,75;258,85;271,16;145,48;316,83;69,95;302,26;299,46;165,83;357,93;51,18;249,77;258,6;161,11;314,76;80,07;369,62;329,83;195,13;402,25;47,4;251,53;291,81;155,62;337,13;57,98;293,59;308,77;188,06;379,59;47,09;251,68;285,26;139,78;316,7;73,98;335,76;339,03;198,73;425,24
Nord Ovest;Piemonte;AT;cap;23;74,5;62,5;22,67;41,53;19,5;84,51;75;23,67;43,17;18;66;48,47;24,5;28,79;30;91;79,09;28,5;29,42;21;99,15;70,8;33,5;28,75;17,28;111,67;70,39;29;48;24;69,67;60,4;31;43;20;116,1;73,72;31,53;45,98
Nord Ovest;Piemonte;AT;NonCap;19,5;62,25;83,05;57,94;236,16;10,83;62,56;81,72;58,76;230,5;10;67,69;77,1;33,05;187,31;16,58;76,5;80,94;79,84;220,68;21,5;72,35;69,4;49,94;163,72;15,92;74,63;72,88;66,58;207,13;18;72,67;78,67;48,97;223,56;14,67;96,67;111,25;70,54;261,45
Nord Ovest;Piemonte;BI;cap;19,7;51;49,83;17;34,84;11,27;65,44;52,5;31;35,57;10;57,5;41,86;23,72;30,67;10,5;73,92;50;26,67;31,34;21,04;48,93;68,67;21,67;30,91;13,89;69,5;56,33;29,75;33,17;12,01;64,02;40,39;21;26,67;30,06;100,81;61,38;22;38,25
Nord Ovest;Piemonte;BI;NonCap;26;98,85;115,33;70,6;128,76;18;87,33;99,75;63,3;141,17;20,79;69,42;85,67;63,53;132,25;27,34;95,47;123,97;103,59;181,24;22,03;96,5;104,42;68,17;140,5;31;103,66;122,59;67,67;147,62;16;100,84;109,7;55,17;135,33;24,01;134,62;158,07;76,97;185,67
Nord Ovest;Piemonte;CN;cap;10;50,02;43;34,83;26,58;9;44;48,01;31,53;23,52;4;37,5;40,29;20,17;17,67;12;47,7;64,17;41,5;32,8;6,5;38,02;48,14;28,5;14;10,16;46,99;62,78;34,75;35,49;9,54;76,52;68,4;34;34,5;23,06;79,99;83,84;42;49,65
Nord Ovest;Piemonte;CN;NonCap;183,85;460,79;413,64;246,4;399,45;240,69;524,82;433,48;269,39;473,89;158,48;411,24;428,32;201,13;415,46;308,81;555,03;532,2;328,35;522,07;160,1;387,81;348,16;206,49;353,14;193,24;491,13;418,7;281,54;435,24;168,37;412,12;412,46;239,88;414,27;273,79;619,65;548,87;331,01;507,99
Nord Ovest;Piemonte;NO;cap;23,5;138,72;116,99;65,3;45,67;72,09;142,67;122,09;63,5;58,03;11;104,09;105,57;43;38;29;159,5;133;65,02;53;17,9;100,83;94,75;38,5;31;33,78;139,5;141,12;70,27;51,25;16,08;110,06;99,99;50,25;39,3;37,5;158,8;157,6;59,25;52,22
Nord Ovest;Piemonte;NO;NonCap;39,8;212,79;246,19;144,8;218,55;48,33;234,37;296,71;160,31;222,97;40,88;186,77;234,75;123,45;215,37;60,87;245,67;270,59;179,48;273,53;46,5;195,75;230,49;142,67;217,54;37,33;230,46;261,72;146,03;263,69;42,48;208,77;233,56;134,89;197,21;57,2;247,98;291,08;180,18;267,67
Nord Ovest;Piemonte;TO;cap;554,15;1707,99;828,37;255,01;209,8;599,53;1968,96;901,14;266,27;230,5;462,39;1524,8;691,75;246,34;223,76;635,95;2054,11;909,68;366,99;249,05;541,97;1549,28;660,36;252,01;189,07;555,87;1902,28;866,63;311,62;250,02;483,45;1678,33;786,21;285,41;218,33;714,49;2186,9;1005,25;421,29;260,92
Nord Ovest;Piemonte;TO;NonCap;314,92;1485,18;1149,25;619,27;914,59;374,58;1628,98;1340,9;656,67;984,72;288,76;1376,91;1056,04;555,64;809,47;659,99;1831,95;1478,35;721,7;1097,87;332,98;1372,76;1114,46;502,03;689,45;429,85;1650,22;1454,14;630,61;1031,23;332,63;1392,97;1183,99;563,68;871,86;468,27;2001,33;1648,05;712,11;1108,37
Nord Ovest;Piemonte;VB;cap;3,02;47,92;30,84;14,3;16,5;11;36,25;37,83;10,98;18,17;13;50,5;27,67;15,67;10;11;46,25;31,01;18,5;13,67;5;44;25,34;18,59;8,67;4,03;26,3;24,99;16,17;12;7,17;33,17;28,34;16,67;16;9;61;57,84;30,5;21
Nord Ovest;Piemonte;VB;NonCap;51,24;139,45;131;79,22;88,12;67,22;196,95;143,38;70,41;102,07;34,01;151,83;113,82;65,22;74,13;68,93;199,83;149,25;84,42;104,41;42,32;148,64;122,72;58,41;82,78;54,51;170,94;136,27;61,56;82,12;40,78;127,95;124,71;63,34;87,78;81,88;202,15;155,68;88,64;110,97
Nord Ovest;Piemonte;VC;cap;5,07;80,75;57,5;14,5;23,75;12;61,5;42,5;24;24,1;9,08;55,5;40;23;27,9;13;90,11;69,5;29;25;15,41;57,83;49,5;20;17;16;77,5;56,67;24,5;25,5;7,11;46,72;32;16,33;20,5;17;63,17;44;33;19,68
Nord Ovest;Piemonte;VC;NonCap;26,16;85,92;84,72;63,1;111,18;18,46;77,62;108,92;55,83;111,61;13;95,5;67,47;48,84;118,91;40,5;115,3;94,57;66,67;162,83;25;70,84;95,33;54,08;113,59;33,86;95,66;105,51;70,83;137,16;34,72;131,87;85,67;57,44;125,52;43,35;142,93;153,01;78;153,69
Nord Ovest;Valle d'Aosta;AO;cap;7,74;44,41;24,34;3,52;8,5;13;42,3;26,83;16;10;4,75;41,04;26,67;9,5;8,5;6,5;42,83;34,75;8;7;9;36,75;22,25;13;6;9,67;53;35,33;14,5;10;9;36,17;21,58;20;8,5;6,5;44,17;38;11,67;4,5
Nord Ovest;Valle d'Aosta;AO;NonCap;124,01;152,47;84,77;38,17;40,57;132,77;207,85;89,11;42,11;42,34;68,33;143,93;66,06;38,92;36;109,18;195,16;114,03;59,99;44,22;93,02;141,83;62,66;41,23;26,17;135,64;193,74;101,66;35;31,68;84,84;145,63;95,17;22,5;35,78;115,96;214,43;128,54;42,79;58,5
Nord Est;Emilia-Romagna;BO;cap;166,94;566,46;328,65;115,02;86,63;215,74;683,12;407,56;145,95;91,1;167,02;550,79;398,72;136,04;86,09;246,55;672;382,76;131,44;123,2;193,95;531,64;338,59;103,09;73,75;185,96;626,67;427,62;160,82;103,34;193,27;588,01;368,24;130,97;73,72;234,09;721,93;447,23;181,13;104,06
Nord Est;Emilia-Romagna;BO;NonCap;122,3;691,08;614,91;276,87;303,29;132,67;765,27;728,61;287,55;368,64;82,7;649,01;662,65;284,8;307,09;150,64;878,3;833,66;381,41;420,31;109,63;614,57;525,45;199,41;282;156,5;790,89;740,3;323,4;354,75;91,47;658,03;726,15;284,09;329,83;158,41;870,92;833;426,37;503,21
Nord Est;Emilia-Romagna;FE;cap;40,24;162,15;136,97;61,09;57,08;31,14;174,21;149,24;74,96;58,75;45,05;155,33;132,33;67,68;93;43,23;193,72;150,03;79,63;115,41;21,52;133,97;128,37;53,04;60,82;34,22;163,52;174,67;98,34;84,98;33,89;157,92;132,94;70,74;88,24;35,5;189,43;168,12;74,25;106,14
Nord Est;Emilia-Romagna;FE;NonCap;124,78;310,48;177,93;115,73;146,15;143,76;378,07;244,15;134,56;146,41;90,17;239,34;215,13;112,1;150,59;130,33;343,04;272,27;149,5;223,49;117,56;274,93;202,37;99,83;132,15;151,74;363,63;218,92;133,56;175,91;99,09;242,9;199,38;111,5;171,99;135,11;365,24;239,15;152,79;208,23
