Area;Regione;Prov;Cap;2023_1_SUP_NORM;2023_2_SUP_NORM;2023_3_SUP_NORM;2023_4_SUP_NORM;2024_1_SUP_NORM;2024_2_SUP_NORM;2024_3_SUP_NORM;2024_4_SUP_NORM
Nord Ovest;Liguria;GE;cap;184383,2;206443,045;179326,08;211467,83;174493,925;216451,965;190848,59;235180,44
Nord Ovest;Liguria;GE;NonCap;96209,32;102201,365;90038,66;119197,69;84884,18;109034,465;86337,27;119799,315
Nord Ovest;Liguria;IM;cap;10745,31;13340,25;12788,75;16326,04;10897,54;10752,3;11789,53;15022,02
Nord Ovest;Liguria;IM;NonCap;78646,72;86814,545;66837,55;82713,95;67799,5;77071,69;68547,9;85864,51
Nord Ovest;Liguria;SP;cap;30245,73;35764,34;28313,46;29723,95;26546,52;32099,615;25071,44;29263,285
Nord Ovest;Liguria;SP;NonCap;43007,81;44148,13;41431,37;47469,695;41358,25;48538,73;39268,75;49792,44
Nord Ovest;Liguria;SV;cap;15551,505;17598,47;17606,205;19518,55;14340,06;18475,16;19557,14;23609,67
Nord Ovest;Liguria;SV;NonCap;93602,52;113819,67;90027,92;112726,425;86290,11;111152,085;90929,33;118176,56
Nord Ovest;Lombardia;BG;cap;51261,33;55070,59;45683,67;56597,45;44197,33;61244,225;48271,06;76667,45
Nord Ovest;Lombardia;BG;NonCap;352423,18;377443,175;337307,26;444028,41;319673,265;414338,9;351045,14;503220,93
Nord Ovest;Lombardia;BS;cap;71019,88;76310,39;65928,52;87876,93;73973,17;72076,55;70852,31;86573,97
Nord Ovest;Lombardia;BS;NonCap;365671,3;406721,605;363404,605;459460,92;348554,29;409761,335;366322,565;499238,685
Nord Ovest;Lombardia;CO;cap;31465,86;32705,36;31401,2;42190,08;38337,49;36955,39;30559,4;35812,885
Nord Ovest;Lombardia;CO;NonCap;188374,14;218715,47;179437,72;226559,35;163766,76;206247,8;191564,07;246498,335
Nord Ovest;Lombardia;CR;cap;22740,15;30692,41;25437,09;33119,31;19999,24;27913,11;26669,68;32810,45
Nord Ovest;Lombardia;CR;NonCap;97499,18;117529,56;98385,295;128996,83;95726,72;130561,33;99366,44;143073,7
Nord Ovest;Lombardia;LC;cap;15802,33;15416,52;14409,49;22674,98;13336,64;16441,33;11978,9;23314,71
Nord Ovest;Lombardia;LC;NonCap;95585,28;101054,45;93705,68;122886,83;92074,92;113285,44;87237,23;118504,4
Nord Ovest;Lombardia;LO;cap;17735,66;20257,66;14955,99;16832,74;14326,75;18536,02;15708,3;16989,13
Nord Ovest;Lombardia;LO;NonCap;64784,345;72601,45;56012,87;79892,46;56342,34;71941,48;62140,37;82116,75
Nord Ovest;Lombardia;MI;cap;472421,805;528321,585;440321,575;571335,98;419738,48;488791,165;406637,115;627493,445
Nord Ovest;Lombardia;MI;NonCap;906957,08;1059700,105;860046,395;1142166,55;808449,105;1067898,14;882920,575;1208204,165
Nord Ovest;Lombardia;MN;cap;18761,8;24559,38;16928,39;24023,75;20226,43;26262,41;19736,72;28529,26
Nord Ovest;Lombardia;MN;NonCap;121254,08;142654,71;150613,18;171727,72;126844,39;147084,72;137642,47;173398,78
Nord Ovest;Lombardia;PV;cap;23915,59;25681,77;20760,33;27957,1;16736,22;27500,48;25307,06;32553,09
Nord Ovest;Lombardia;PV;NonCap;185692,615;206113,51;172784,885;234641,23;186250,16;220989,26;179254,3;253012,96
Nord Ovest;Lombardia;SO;cap;7292,69;6592,41;6141,1;9217,28;5099,84;5641,32;6955,76;12819,65
Nord Ovest;Lombardia;SO;NonCap;45070,965;51021,42;40422,335;64836,545;39663,54;48524,87;46794,775;65283
Nord Ovest;Lombardia;VA;cap;28806,59;29726,35;27035,55;40401,06;28741,04;37547,38;26468,42;31991,92
Nord Ovest;Lombardia;VA;NonCap;309384,305;321892,505;295847,5;369705,96;264966,5;346171,68;289369,085;372157,275
Nord Ovest;Piemonte;AL;cap;36080,68;38171,55;39919,71;41804,01;32142,01;40194,46;35525,14;40124,3
Nord Ovest;Piemonte;AL;NonCap;139865,87;159086,39;136458,47;179475,77;145238,86;164917,205;139061,79;184620,14
